location_name,site_id,mb_site_id,url,,,,
DivaDance Alamo City,119043,5737231,,,,standard script,"<script src=""https://widgets.mindbodyonline.com/javascripts/healcode.js"" type=""text/javascript""></script><healcode-widget data-version=""0.2"" data-link-class=""loginRegister"" data-site-id={{ Sheet1.site_id }} data-mb-site-id={{ sheet1.mbsite_id }}  data-bw-identity-site=""true"" data-type=""account-link"" data-inner-html=""Login"" />"
DivaDance Arlington Metroplex,,,,,,,
DivaDance Austin,,,,,,,
DivaDance Brooklyn,,,,,,,
DivaDance Chandler ,,,,,,,
DivaDance Charlotte,,,,,,,
DivaDance Chicago,,,,,,,
DivaDance DC,120298,5738358,,,,,
DivaDance Denton County,,,,,,,
DivaDance El Paso,,,,,,,
DivaDance Fort Worth,,,,,,,
DivaDance Frisco,,,,,,,
DivaDance Gilbert,,,,,,,
DivaDance Hill Country,,,,,,,
DivaDance Houston,,,,,,,
DivaDance Jacksonville,,,,,,,
DivaDance Jersey City/Hoboken,,,,,,,
DivaDance Katy,,,,,,,
DivaDance Las Vegas,,,,,,,
DivaDance McKinney/Allen,,,,,,,
DivaDance Ciudad de Mexico,,,,,,,
DivaDance Mexico City,,,,,,,
DivaDance Naperville,,,,,,,
DivaDance Nashville,,,,,,,
DivaDance NY City,,,,,,,
DivaDance North Dallas,,,,,,,
DivaDance Northern VA,,,,,,,
DivaDance Northwest AR,119533,5737667,,,,,
DivaDance Parties Charleston,,,,,,,
DivaDance Phoenix,,,,,,,
DivaDance Plano,,,,,,,
DivaDance Port City,,,,,,,
DivaDance Queen Creek/Southeast Valley,,,,,,,
DivaDance San Antonio,,,,,,,
DivaDance Sandy Springs,,,,,,,
DivaDance Sarasota/Bradenton,,,,,,,
DivaDance St. Pete/Clearwater,,,,,,,
DivaDance Sugar Land,,,,,,,
DivaDance Tallahassee,,,,,,,
DivaDance Toledo,,,,,,,
DivaDance Uptown Dallas,,,,,,,
DivaDance West Mesa,,,,,,,
DivaDance West San Antonio,119536,5737669,,,,,
DivaDance Williamson County,,,,,,,